id,publisher,title,published,accessed,url,evidence_scope
"1","Kestin 等","AI tutoring outperforms in-class active learning: an RCT introducing a novel research-based design in an authentic educational setting","2025-06-03","2026-09-12","https://pmc.ncbi.nlm.nih.gov/articles/PMC12179260/","同行评审随机实验；大学物理短期教学"
"2","Bastani 等","Generative AI without guardrails can harm learning: Evidence from high school mathematics","2025-06-25","2026-09-12","https://doi.org/10.1073/pnas.2422633122","同行评审随机实验；辅助练习与独立考试区分"
"3","Létourneau 等","A systematic review of AI-driven intelligent tutoring systems (ITS) in K-12 education","2025","2026-09-12","https://pmc.ncbi.nlm.nih.gov/articles/PMC12078640/","系统综述；28 项研究、4,597 名学生"
"4","世界银行，De Simone 等","From chalkboards to chatbots: Transforming learning in Nigeria, one prompt at a time","2025-01-09","2026-09-12","https://blogs.worldbank.org/en/education/From-chalkboards-to-chatbots-Transforming-learning-in-Nigeria","研究实施团队结果说明；六周、教师支持、综合测验"
"5","Google DeepMind 等","Teaching with Gemini: Measuring the impact of Guided Learning on student mathematics progress in Sierra Leone","2026-05-15","2026-09-12","https://storage.googleapis.com/deepmind-media/LearnLM/learnLM_sierraleone_may26.pdf","供应商参与的预注册集群随机实验技术报告；结果见第 1–3 页"
"6","Philip Oreopoulos、Nina Low","One Click Away: AI Tutoring with Khanmigo in a Two-Year School Experiment","2026-08","2026-09-12","https://www.nber.org/papers/w35620","NBER Working Paper 35620；公开摘要，全文统计细节未复核"
"7","Fütterer 等","Enhancing School Students’ Self-Regulated Learning through Generative AI Support: A Randomized Controlled Trial","2026-04-14","2026-09-12","https://link.springer.com/article/10.1007/s10648-026-10133-8","同行评审随机实验；自我调节支持、空结果与局限"
"8","David Strömberg、Victor Lei、Yanhui Wu","The Generative AI Learning Penalty: Evidence from Chinese Secondary Education","2026-06-02","2026-09-12","https://cepr.org/publications/dp21577","CEPR DP21577；纵向观察研究、双重差分；公开摘要与作者解读"
"9","PNAS","Correction for Bastani et al., Generative AI without guardrails can harm learning: Evidence from high school mathematics","2025-08-20","2026-09-12","https://pmc.ncbi.nlm.nih.gov/articles/PMC12403119/","更正作者机构信息，未更改学习效果结果"
"10","Henry L. Roediger、Jeffrey D. Karpicke","Test-enhanced learning: taking memory tests improves long-term retention","2006-03","2026-09-12","https://pubmed.ncbi.nlm.nih.gov/16507066/","检索练习原始实验；材料记忆，不直接证明综合能力"
"11","Nicholas J. Cepeda 等","Distributed practice in verbal recall tasks: A review and quantitative synthesis","2006-05","2026-09-12","https://pubmed.ncbi.nlm.nih.gov/16719566/","分散练习元分析；间隔与保持时长的关系"
"12","浙江省教育考试院","浙江省2026年1月选考科目命题思路","2026-01-09","2026-09-12","https://www.zjzs.net/art/2026/1/9/art_31_11862.html","浙江选考评价要求；不代替目标届完整课程文件"
"13","Google","5 ways to learn with study notebooks in Gemini","2026-06-25","2026-09-12","https://blog.google/innovation-and-ai/products/gemini-app/gemini-study-notebooks/","产品发布说明；诊断、课程与进度功能"
"14","Google Gemini 帮助中心","Organize your projects with notebooks in Gemini Apps","未标注","2026-09-12","https://support.google.com/gemini/answer/16972047?co=GENIE.Platform%3DDesktop&hl=en","现行功能、个人账户、年龄、逐步开放限制"
"15","Google Gemini 帮助中心","Where you can use the Gemini web app","未标注","2026-09-12","https://support.google.com/gemini/answer/13575153?hl=en-GB","地区可用性；中国大陆列为 Workspace only"
"16","OpenAI 帮助中心","ChatGPT study mode","未标注","2026-09-12","https://help.openai.com/en/articles/11780217-study-mode","功能与局限；不是学习效果试验"
"17","OpenAI","New ways to learn math and science in ChatGPT","2026-03-10","2026-09-12","https://openai.com/index/new-ways-to-learn-math-and-science-in-chatgpt/","部分数学、科学交互可视化"
"18","OpenAI 帮助中心","ChatGPT Supported Countries","未标注","2026-09-12","https://help.openai.com/en/articles/7947663-chatgpt-supported-countries","消费者服务地区范围"
"19","Math Academy","How It Works","未标注","2026-09-12","https://mathacademy.com/how-it-works","课程、诊断、练习与复习工作流；厂商功能说明"
"20","Math Academy","Math Academy 产品主页","未标注","2026-09-12","https://www.mathacademy.com/","每月 49 美元标价及宣传；宣传倍数不作效果结论"
"21","ALEKS","About ALEKS","未标注","2026-09-12","https://www.aleks.com/about_aleks/index","自适应诊断、课程与 Knowledge Checks"
"22","ALEKS","Purchase a Subscription","未标注","2026-09-12","https://www.aleks.com/buy_aleks_now","个人订阅价格及一次一门课程限制"
"23","Khan Academy","Khanmigo for learners","未标注","2026-09-12","https://www.khanmigo.ai/learners","学习者产品、价格与购买范围"
"24","Khan Academy 帮助中心","How do I sign up for Khanmigo?","2024-07-17","2026-09-12","https://support.khanacademy.org/hc/en-us/articles/13982227159437-How-do-I-sign-up-for-Khanmigo","个人购买、美国地区及家长账户要求"
"25","科大讯飞智慧教育","AI 学习机","未标注","2026-09-12","https://edu.iflytek.com/solution/family/learning-pad","官方功能及学段脚注；规划学限初中数学"
"26","好未来","读懂每个孩子的学习节奏，学而思发布全新培优AI家教及旗舰学习机T6系列","2026-07-02","2026-09-12","https://www.tal.com/zh-cn/news/detail/3039","公司发布材料；双师模式、首发价、升级时间与小学英语范围"
"27","Wei Cui、Zhen Xue、Khanh-Phuong Thai","Performance comparison of an AI-based Adaptive Learning System in China","2019-01-29","2026-09-12","https://arxiv.org/abs/1901.10268","乂学早期研究；短期、供应商关联，不等于当前高中产品验证"
"28","Squirrel Ai","Squirrel Ai 官方国际站","未标注","2026-09-12","https://squirrelai.com/","北美授权体系及低龄数学范围；不得混作国内高中服务"
"29","精准学","寒雪老师／精准学 AI 家教机官方产品页","未标注","2026-09-12","https://www.91jzx.cn/","厂商定位、交互与硬件绑定；未验证高中完整覆盖"
